path_segment,x1,y1,theta1,x2,y2,theta2
146,2.9199591252900303,1.3174430333170923e-07,1.2428708107137254e-07,1.8599591252900864,-2.1465828699871764e-07,1.2428708107137254e-07
147,2.9399588453262626,1.3264666139728804e-07,1.251383625611169e-07,1.8799588453263192,-2.1375592893313872e-07,1.251383625611169e-07
148,2.959958565362496,1.3354901946286683e-07,1.2598964382881658e-07,1.8999585653625517,-2.1285357086755993e-07,1.2598964382881658e-07
149,2.9799582853987285,1.3445137797253505e-07,1.2684092531856095e-07,1.919958285398785,-2.119512123578915e-07,1.2684092531856095e-07
150,2.9999580054349617,1.3535373603811408e-07,1.2769220658626068e-07,1.9399580054350187,-2.1104885429231237e-07,1.2769220658626068e-07
151,3.0199577254711953,1.362560945477825e-07,1.2854348807600502e-07,1.9599577254712515,-2.1014649578264436e-07,1.2854348807600502e-07
152,3.0399574455074276,1.3715845261336132e-07,1.2939476934370473e-07,1.9799574455074849,-2.0924413771706512e-07,1.2939476934370473e-07
153,3.0599571655436604,1.380608106789401e-07,1.302460508334491e-07,1.9999571655437176,-2.0834177965148633e-07,1.302460508334491e-07
154,3.079956885579894,1.3896316918860854e-07,1.3109733210114882e-07,2.019956885579951,-2.07439421141818e-07,1.3109733210114882e-07
155,3.0999566056161276,1.3986552725418778e-07,1.3194861359089316e-07,2.039956605616184,-2.065370630762391e-07,1.3194861359089316e-07
156,3.1199563256523604,1.4076788576385578e-07,1.327998948585929e-07,2.0599563256524163,-2.056347045665711e-07,1.327998948585929e-07
157,3.1399560456885927,1.4167024382943457e-07,1.3365117634833723e-07,2.07995604568865,-2.0473234650099187e-07,1.3365117634833723e-07
158,3.1599557657248263,1.4257260189501381e-07,1.3450245761603696e-07,2.099955765724883,-2.0382998843541274e-07,1.3450245761603696e-07
159,3.17995548576106,1.4347496040468203e-07,1.353537391057813e-07,2.119955485761116,-2.0292762992574473e-07,1.353537391057813e-07
160,3.199955205797292,1.4437731847026103e-07,1.3620502037348103e-07,2.1399552057973485,-2.0202527186016584e-07,1.3620502037348103e-07
161,3.219954925833525,1.4527967653583985e-07,1.3705630186322537e-07,2.1599549258335817,-2.011229137945867e-07,1.3705630186322537e-07
162,3.2399546458697586,1.4618203504550827e-07,1.379075831309251e-07,2.179954645869816,-2.0022055528491828e-07,1.379075831309251e-07
163,3.2599543659059913,1.470843931110871e-07,1.3875886462066944e-07,2.199954365906048,-1.9931819721933946e-07,1.3875886462066944e-07
164,3.279954085942225,1.4798675162075552e-07,1.3961014588836917e-07,2.219954085942281,-1.9841583870967135e-07,1.3961014588836917e-07
165,3.299953805978457,1.488891096863343e-07,1.4046142737811354e-07,2.2399538059785145,-1.9751348064409224e-07,1.4046142737811354e-07
166,3.319953526014691,1.4979146775191334e-07,1.4131270864581325e-07,2.2599535260147476,-1.966111225785131e-07,1.4131270864581325e-07
167,3.339953246050924,1.5069382626158176e-07,1.4216399013555758e-07,2.2799532460509804,-1.95708764068845e-07,1.4216399013555758e-07
168,3.3599529660871568,1.5159618432716056e-07,1.4301527140325732e-07,2.2999529660872127,-1.948064060032662e-07,1.4301527140325732e-07
169,3.37995268612339,1.524985428368288e-07,1.4386655289300165e-07,2.3199526861234467,-1.9390404749359786e-07,1.4386655289300165e-07
170,3.399952406159624,1.5340090090240822e-07,1.4471783416070139e-07,2.3399524061596804,-1.9300168942801865e-07,1.4471783416070139e-07
171,3.4199521261958568,1.5430325896798701e-07,1.4556911565044572e-07,2.3599521261959127,-1.9209933136243985e-07,1.4556911565044572e-07
172,3.439951846232089,1.5520561747765504e-07,1.4642039691814546e-07,2.3799518462321463,-1.911969728527715e-07,1.4642039691814546e-07
173,3.4599515662683227,1.5610797554323426e-07,1.472716784078898e-07,2.3999515662683795,-1.902946147871923e-07,1.472716784078898e-07
174,3.4799512863045554,1.5701033405290228e-07,1.4812295967558955e-07,2.419951286304612,-1.8939225627752427e-07,1.4812295967558955e-07
175,3.4999510063407886,1.579126921184815e-07,1.4897424116533386e-07,2.439951006340845,-1.8848989821194537e-07,1.4897424116533386e-07
176,3.5199507263770218,1.588150501840603e-07,1.498255224330336e-07,2.4599507263770786,-1.8758754014636626e-07,1.498255224330336e-07
177,3.539950446413255,1.5971740869372853e-07,1.506768039227779e-07,2.479950446413312,-1.866851816366979e-07,1.506768039227779e-07
178,3.5599501664494886,1.6061976675930775e-07,1.5152808519047767e-07,2.4999501664495445,-1.8578282357111902e-07,1.5152808519047767e-07
179,3.5799498864857213,1.6152212526897575e-07,1.5237936668022203e-07,2.5199498864857772,-1.8488046506145101e-07,1.5237936668022203e-07
180,3.5999496065219536,1.6242448333455478e-07,1.5323064794792174e-07,2.53994960652201,-1.839781069958721e-07,1.5323064794792174e-07
181,3.6199493265581864,1.6332684140013357e-07,1.5408192943766608e-07,2.559949326558243,-1.8307574893029298e-07,1.5408192943766608e-07
182,3.6399490465944204,1.642291999098022e-07,1.549332107053658e-07,2.5799490465944768,-1.8217339042062466e-07,1.549332107053658e-07
183,3.6599487666306536,1.6513155797538102e-07,1.5578449219511015e-07,2.5999487666307095,-1.8127103235504574e-07,1.5578449219511015e-07
184,3.679948486666886,1.6603391648504903e-07,1.5663577346280988e-07,2.619948486666943,-1.8036867384537742e-07,1.5663577346280988e-07
185,3.6999482067031186,1.6693627455062806e-07,1.5748705495255422e-07,2.639948206703176,-1.794663157797985e-07,1.5748705495255422e-07
186,3.7199479267393523,1.6783863261620706e-07,1.5833833622025395e-07,2.659947926739409,-1.7856395771421939e-07,1.5833833622025395e-07
187,3.7399476467755854,1.6874099112587548e-07,1.591896177099983e-07,2.679947646775642,-1.7766159920455138e-07,1.591896177099983e-07
188,3.759947366811818,1.696433491914543e-07,1.6004089897769802e-07,2.699947366811875,-1.7675924113897214e-07,1.6004089897769802e-07
189,3.779947086848052,1.7054570770112273e-07,1.6089218046744238e-07,2.719947086848109,-1.7585688262930382e-07,1.6089218046744238e-07
190,3.7999468068842845,1.7144806576670152e-07,1.617434617351421e-07,2.739946806884342,-1.7495452456372503e-07,1.617434617351421e-07
191,3.819946526920518,1.7235042383228076e-07,1.6259474322488643e-07,2.759946526920574,-1.740521664981461e-07,1.6259474322488643e-07
192,3.8399462469567505,1.7325278234194876e-07,1.6344602449258616e-07,2.779946246956807,-1.731498079884781e-07,1.6344602449258616e-07
193,3.859945966992984,1.7415514040752798e-07,1.642973059823305e-07,2.799945966993041,-1.7224744992289868e-07,1.642973059823305e-07
194,3.8799456870292173,1.7505749891719622e-07,1.6514858725003023e-07,2.8199456870292736,-1.7134509141323054e-07,1.6514858725003023e-07
195,3.89994540706545,1.75959856982775e-07,1.6599986873977457e-07,2.839945407065506,-1.7044273334765175e-07,1.6599986873977457e-07
196,3.919945127101683,1.7686221504835404e-07,1.668511500074743e-07,2.85994512710174,-1.695403752820725e-07,1.668511500074743e-07
197,3.9399448471379155,1.7776457355802204e-07,1.6770243149721864e-07,2.8799448471379727,-1.686380167724045e-07,1.6770243149721864e-07
198,3.95994456717415,1.7866693162360147e-07,1.6855371276491837e-07,2.899944567174206,-1.677356587068254e-07,1.6855371276491837e-07
199,3.9799442872103823,1.7956928968918029e-07,1.6940499425466268e-07,2.9199442872104386,-1.6683330064124648e-07,1.6940499425466268e-07
200,3.999944007246615,1.804716481988485e-07,1.7025627552236244e-07,2.939944007246671,-1.6593094213157848e-07,1.7025627552236244e-07
201,4.0199437272828495,1.8137400626442793e-07,1.7110755701210678e-07,2.9599437272829054,-1.6502858406599905e-07,1.7110755701210678e-07
202,4.039943447319082,1.8227636477409595e-07,1.7195883827980651e-07,2.979943447319138,-1.641262255563308e-07,1.7195883827980651e-07
203,4.059943167355315,1.8317872283967474e-07,1.7281011976955085e-07,2.999943167355371,-1.6322386749075202e-07,1.7281011976955085e-07
204,4.079942887391549,1.8408108090525399e-07,1.7366140103725058e-07,3.0199428873916054,-1.6232150942517256e-07,1.7366140103725058e-07
205,4.0999426074277805,1.84983439414922e-07,1.7451268252699492e-07,3.0399426074278377,-1.6141915091550456e-07,1.7451268252699492e-07
206,4.119942327464014,1.858857974805012e-07,1.7536396379469466e-07,3.0599423274640705,-1.6051679284992577e-07,1.7536396379469466e-07
207,4.139942047500247,1.8678815599016923e-07,1.7621524528443902e-07,3.079942047500303,-1.5961443434025753e-07,1.7621524528443902e-07
208,4.1599417675364805,1.8769051405574823e-07,1.7706652655213873e-07,3.0999417675365373,-1.587120762746781e-07,1.7706652655213873e-07
